barrio,poligono
42,"[(-58.5525431, -34.4612605),  (-58.5525360, -34.4613595),  (-58.5525074, -34.4614358),  (-58.5524617, -34.4615660),  (-58.5524056, -34.4616645),  (-58.5523328, -34.4617808),  (-58.5518527, -34.4624872),  (-58.5513723, -34.4632071),  (-58.5508924, -34.4638999),  (-58.5509085, -34.4639091),  (-58.5510435, -34.4639738),  (-58.5518261, -34.4643436),  (-58.5518422, -34.4643528),  (-58.5527976, -34.4648013),  (-58.5548156, -34.4657897),  (-58.5549557, -34.4658679),  (-58.5651573, -34.4706977),  (-58.5652815, -34.4707578),  (-58.5663073, -34.4712340),  (-58.5667444, -34.4714465),  (-58.5676021, -34.4699783),  (-58.5679608, -34.4693696),  (-58.5680840, -34.4691637),  (-58.5681065, -34.4691189),  (-58.5681289, -34.4690831),  (-58.5681513, -34.4690473),  (-58.5681737, -34.4690115),  (-58.5681905, -34.4689802),  (-58.5682184, -34.4689399),  (-58.5682408, -34.4689041),  (-58.5682632, -34.4688683),  (-58.5668386, -34.4681666),  (-58.5659750, -34.4677509),  (-58.5651438, -34.4673535),  (-58.5642803, -34.4669378),  (-58.5634223, -34.4665176),  (-58.5617654, -34.4657274),  (-58.5610315, -34.4653673),  (-58.5600276, -34.4648912),  (-58.5598874, -34.4648175),  (-58.5591642, -34.4644709),  (-58.5582465, -34.4640455),  (-58.5574590, -34.4636396),  (-58.5566497, -34.4632425),  (-58.5558403, -34.4628453),  (-58.5555435, -34.4627021),  (-58.5541405, -34.4620275),  (-58.5525431, -34.4612605)]"
43,"[(-58.5684986, -34.4522094),  (-58.5680341, -34.4529656),  (-58.5675815, -34.4536634),  (-58.5671294, -34.4543341),  (-58.5672806, -34.4543990),  (-58.5683068, -34.4548437),  (-58.5694785, -34.4553622),  (-58.5699307, -34.4546914),  (-58.5703669, -34.4539935),  (-58.5708532, -34.4532330),  (-58.5696541, -34.4527232),  (-58.5684986, -34.4522094)]"
44,"[(-58.5591974, -34.4543040),  (-58.5597046, -34.4545488),  (-58.5605789, -34.4549647),  (-58.5614372, -34.4553579),  (-58.5624250, -34.4558157),  (-58.5629047, -34.4560782),  (-58.5635041, -34.4563467),  (-58.5645785, -34.4568325),  (-58.5657603, -34.4574007),  (-58.5662732, -34.4566766),  (-58.5667534, -34.4559612),  (-58.5655769, -34.4553975),  (-58.5652100, -34.4552220),  (-58.5643357, -34.4548061),  (-58.5633968, -34.4543534),  (-58.5624470, -34.4539006),  (-58.5615458, -34.4534663),  (-58.5612651, -34.4533413),  (-58.5604474, -34.4537508),  (-58.5602613, -34.4538163),  (-58.5591974, -34.4543040)]"
45,"[(-58.5769481, -34.4425688),  (-58.5763303, -34.4421110),  (-58.5761315, -34.4419644),  (-58.5754438, -34.4414562),  (-58.5749389, -34.4410762),  (-58.5742943, -34.4405955),  (-58.5733300, -34.4416433),  (-58.5725146, -34.4422468),  (-58.5717263, -34.4428595),  (-58.5709152, -34.4435260),  (-58.5716764, -34.4441929),  (-58.5724375, -34.4448598),  (-58.5731770, -34.4455174),  (-58.5739656, -34.4461711),  (-58.5747822, -34.4455001),  (-58.5739929, -34.4448870),  (-58.5748090, -34.4442430),  (-58.5756193, -34.4436125),  (-58.5769481, -34.4425688)]"
46,"[(-58.5768893, -34.4607847),  (-58.5763983, -34.4615001),  (-58.5758741, -34.4622511),  (-58.5769537, -34.4627595),  (-58.5780439, -34.4632859),  (-58.5791236, -34.4637942),  (-58.5796369, -34.4630431),  (-58.5801277, -34.4623367),  (-58.5800305, -34.4622905),  (-58.5793126, -34.4619486),  (-58.5790589, -34.4618285),  (-58.5786056, -34.4616114),  (-58.5779688, -34.4613021),  (-58.5778716, -34.4612559),  (-58.5772185, -34.4609418),  (-58.5768893, -34.4607847)]"
47,"[(-58.5545986, -34.4518611),  (-58.5540129, -34.4527014),  (-58.5535445, -34.4533629),  (-58.5530927, -34.4540065),  (-58.5538531, -34.4543941),  (-58.5546081, -34.4547816),  (-58.5553632, -34.4551691),  (-58.5558756, -34.4544811),  (-58.5563323, -34.4538646),  (-58.5569114, -34.4530917),  (-58.5561513, -34.4526861),  (-58.5554178, -34.4523124),  (-58.5545986, -34.4518611)]"
48,"[(-58.5814355, -34.4667235),  (-58.5809224, -34.4674656),  (-58.5803758, -34.4682525),  (-58.5814662, -34.4687699),  (-58.5825349, -34.4692871),  (-58.5836359, -34.4698226),  (-58.5841828, -34.4690178),  (-58.5846960, -34.4682756),  (-58.5836055, -34.4677582),  (-58.5825260, -34.4672409),  (-58.5814355, -34.4667235)]"
49,"[(-58.5475775, -34.4517148),  (-58.5468044, -34.4523726),  (-58.5460425, -34.4530125),  (-58.5452710, -34.4523273),  (-58.5444768, -34.4529488),  (-58.5436825, -34.4535703),  (-58.5444544, -34.4542375),  (-58.5448305, -34.4545124),  (-58.5449971, -34.4546270),  (-58.5451918, -34.4546969),  (-58.5460702, -34.4542387),  (-58.5469366, -34.4535369),  (-58.5476637, -34.4530183),  (-58.5483302, -34.4525484),  (-58.5482840, -34.4523857),  (-58.5481447, -34.4522623),  (-58.5475775, -34.4517148)]"
50,"[(-58.5471652, -34.4340522),  (-58.5466065, -34.4345909),  (-58.5471167, -34.4349665),  (-58.5478674, -34.4355929),  (-58.5486068, -34.4362416),  (-58.5482814, -34.4365036),  (-58.5490373, -34.4371391),  (-58.5497884, -34.4377474),  (-58.5506255, -34.4371489),  (-58.5498973, -34.4364823),  (-58.5491689, -34.4358246),  (-58.5484297, -34.4351579),  (-58.5477122, -34.4345004),  (-58.5471652, -34.4340522)]"
51,"[(-58.5318201, -34.4505711),  (-58.5313405, -34.4506194),  (-58.5312204, -34.4506450),  (-58.5302046, -34.4508671),  (-58.5300507, -34.4509554),  (-58.5292811, -34.4514059),  (-58.5291383, -34.4514853),  (-58.5290943, -34.4515118),  (-58.5300757, -34.4520103),  (-58.5309818, -34.4524629),  (-58.5319204, -34.4529248),  (-58.5328372, -34.4533865),  (-58.5337871, -34.4538261),  (-58.5346983, -34.4542967),  (-58.5356209, -34.4547404),  (-58.5364186, -34.4551691),  (-58.5372540, -34.4543769),  (-58.5379454, -34.4537271),  (-58.5380561, -34.4536203),  (-58.5372143, -34.4532226),  (-58.5367392, -34.4530096),  (-58.5359944, -34.4526672),  (-58.5358864, -34.4526209),  (-58.5351846, -34.4523060),  (-58.5349309, -34.4521903),  (-58.5340619, -34.4517968),  (-58.5339972, -34.4517645),  (-58.5330261, -34.4512976),  (-58.5327995, -34.4511867),  (-58.5319276, -34.4506445),  (-58.5318201, -34.4505711)]"
52,"[(-58.5596934, -34.4374544),  (-58.5589102, -34.4380851),  (-58.5596709, -34.4387656),  (-58.5603947, -34.4393825),  (-58.5611723, -34.4400361),  (-58.5619332, -34.4394367),  (-58.5611722, -34.4387697),  (-58.5604593, -34.4381529),  (-58.5596934, -34.4374544)]"
53,"[(-58.5618953, -34.4308552),  (-58.5618685, -34.4308324),  (-58.5616915, -34.4310016),  (-58.5616307, -34.4310594),  (-58.5613214, -34.4313352),  (-58.5614183, -34.4313950),  (-58.5637383, -34.4331303),  (-58.5597635, -34.4362248),  (-58.5604871, -34.4368508),  (-58.5605203, -34.4368151),  (-58.5645120, -34.4336892),  (-58.5647648, -34.4338545),  (-58.5649658, -34.4338703),  (-58.5651246, -34.4338091),  (-58.5652292, -34.4337382),  (-58.5653192, -34.4335635),  (-58.5652944, -34.4334235),  (-58.5641881, -34.4325948),  (-58.5635812, -34.4321415),  (-58.5620456, -34.4309742),  (-58.5619382, -34.4308918),  (-58.5618953, -34.4308552)]"
54,"[(-58.5678819, -34.4408495),  (-58.5671591, -34.4414450),  (-58.5663655, -34.4420486),  (-58.5656204, -34.4426708),  (-58.5663815, -34.4433377),  (-58.5664028, -34.4433650),  (-58.5671535, -34.4440048),  (-58.5671857, -34.4440322),  (-58.5679043, -34.4446355),  (-58.5686766, -34.4452845),  (-58.5693822, -34.4447430),  (-58.5701434, -34.4441299),  (-58.5702094, -34.4440856),  (-58.5709152, -34.4435260),  (-58.5701650, -34.4428593),  (-58.5693832, -34.4421290),  (-58.5686488, -34.4414940),  (-58.5678819, -34.4408495)]"
55,"[(-58.5642164, -34.4414330),  (-58.5634385, -34.4420683),  (-58.5626557, -34.4426721),  (-58.5618398, -34.4433024),  (-58.5625681, -34.4439735),  (-58.5632167, -34.4445355),  (-58.5640850, -34.4452938),  (-58.5648139, -34.4459333),  (-58.5655969, -34.4453206),  (-58.5663693, -34.4446896),  (-58.5671857, -34.4440322),  (-58.5671535, -34.4440048),  (-58.5664028, -34.4433650),  (-58.5663815, -34.4433377),  (-58.5656204, -34.4426708),  (-58.5649561, -34.4420726),  (-58.5642164, -34.4414330)]"
56,"[(-58.5563443, -34.4462121),  (-58.5555836, -34.4467890),  (-58.5547900, -34.4473836),  (-58.5545862, -34.4472144),  (-58.5538686, -34.4478144),  (-58.5542011, -34.4480932),  (-58.5533419, -34.4487050),  (-58.5535027, -34.4488466),  (-58.5541244, -34.4493857),  (-58.5547678, -34.4499342),  (-58.5556301, -34.4504131),  (-58.5563308, -34.4507909),  (-58.5564921, -34.4509010),  (-58.5565889, -34.4509652),  (-58.5570939, -34.4507098),  (-58.5578575, -34.4502771),  (-58.5586148, -34.4495830),  (-58.5585069, -34.4495276),  (-58.5578915, -34.4492500),  (-58.5574703, -34.4490647),  (-58.5573623, -34.4490184),  (-58.5574639, -34.4484923),  (-58.5572084, -34.4481603),  (-58.5579523, -34.4476102),  (-58.5572017, -34.4469704),  (-58.5566013, -34.4464540),  (-58.5564944, -34.4463446),  (-58.5563443, -34.4462121)]"
57,"[(-58.5591974, -34.4543040),  (-58.5582801, -34.4548114),  (-58.5581313, -34.4549224),  (-58.5579330, -34.4550642),  (-58.5578771, -34.4551492),  (-58.5577209, -34.4553772),  (-58.5577777, -34.4555536),  (-58.5578961, -34.4559426),  (-58.5579521, -34.4564841),  (-58.5582542, -34.4566364),  (-58.5577632, -34.4573427),  (-58.5578063, -34.4573702),  (-58.5582760, -34.4575831),  (-58.5584325, -34.4576570),  (-58.5595489, -34.4572826),  (-58.5607422, -34.4568640),  (-58.5617715, -34.4564885),  (-58.5629047, -34.4560782),  (-58.5624250, -34.4558157),  (-58.5614372, -34.4553579),  (-58.5605789, -34.4549647),  (-58.5597046, -34.4545488),  (-58.5591974, -34.4543040)]"
58,"[(-58.5653505, -34.4610014),  (-58.5649377, -34.4615914),  (-58.5652615, -34.4617484),  (-58.5648598, -34.4623296),  (-58.5644918, -34.4628481),  (-58.5644360, -34.4629285),  (-58.5650620, -34.4632333),  (-58.5651375, -34.4632703),  (-58.5664975, -34.4639262),  (-58.5671991, -34.4642679),  (-58.5689637, -34.4651269),  (-58.5696165, -34.4654545),  (-58.5699889, -34.4656346),  (-58.5708169, -34.4639858),  (-58.5709078, -34.4637615),  (-58.5709306, -34.4636987),  (-58.5695490, -34.4630336),  (-58.5692470, -34.4628768),  (-58.5684483, -34.4624889),  (-58.5683190, -34.4624152),  (-58.5673798, -34.4619716),  (-58.5669156, -34.4617498),  (-58.5664191, -34.4615096),  (-58.5653505, -34.4610014)]"
59,"[(-58.5743102, -34.4524621),  (-58.5720493, -34.4564784),  (-58.5728216, -34.4568164),  (-58.5734598, -34.4570401),  (-58.5742691, -34.4548818),  (-58.5744192, -34.4543743),  (-58.5750016, -34.4527586),  (-58.5748179, -34.4526844),  (-58.5743102, -34.4524621)]"
60,"[(-58.5758626, -34.4459498),  (-58.5743603, -34.4488753),  (-58.5743490, -34.4489022),  (-58.5750936, -34.4492624),  (-58.5753403, -34.4488326),  (-58.5756207, -34.4483401),  (-58.5757662, -34.4480985),  (-58.5762035, -34.4473374),  (-58.5764949, -34.4468360),  (-58.5766967, -34.4464824),  (-58.5758626, -34.4459498)]"
61,"[(-58.5722039, -34.4605047),  (-58.5716324, -34.4621115),  (-58.5714736, -34.4624882),  (-58.5714166, -34.4626408),  (-58.5710272, -34.4634565),  (-58.5709306, -34.4636987),  (-58.5709078, -34.4637615),  (-58.5708169, -34.4639858),  (-58.5699889, -34.4656346),  (-58.5705989, -34.4659212),  (-58.5711823, -34.4661714),  (-58.5713897, -34.4654978),  (-58.5715868, -34.4647880),  (-58.5717943, -34.4641054),  (-58.5728089, -34.4645950),  (-58.5733223, -34.4638438),  (-58.5737574, -34.4632180),  (-58.5738464, -34.4631018),  (-58.5742927, -34.4624580),  (-58.5747947, -34.4617338),  (-58.5737151, -34.4612254),  (-58.5728300, -34.4608005),  (-58.5722039, -34.4605047)]"
62,"[(-58.5760055, -34.4641275),  (-58.5754814, -34.4648695),  (-58.5749568, -34.4656386),  (-58.5760363, -34.4661559),  (-58.5771157, -34.4666823),  (-58.5782168, -34.4672089),  (-58.5787524, -34.4664309),  (-58.5776513, -34.4659043),  (-58.5781645, -34.4651622),  (-58.5770957, -34.4646540),  (-58.5760055, -34.4641275)]"
63,"[(-58.5781645, -34.4651622),  (-58.5776513, -34.4659043),  (-58.5787524, -34.4664309),  (-58.5782168, -34.4672089),  (-58.5792962, -34.4677352),  (-58.5803758, -34.4682525),  (-58.5809224, -34.4674656),  (-58.5814355, -34.4667235),  (-58.5803560, -34.4662062),  (-58.5792656, -34.4656887),  (-58.5781645, -34.4651622)]"
64,"[(-58.5564857, -34.4424191),  (-58.5572253, -34.4430678),  (-58.5579594, -34.4437164),  (-58.5584200, -34.4441410),  (-58.5588056, -34.4444925),  (-58.5588166, -34.4444837),  (-58.5595782, -34.4438527),  (-58.5603451, -34.4432262),  (-58.5603782, -34.4431996),  (-58.5595255, -34.4424865),  (-58.5587259, -34.4431125),  (-58.5579752, -34.4424817),  (-58.5572575, -34.4418243),  (-58.5564857, -34.4424191)]"
65,"[(-58.5671294, -34.4543341),  (-58.5668047, -34.4545512),  (-58.5662186, -34.4547786),  (-58.5652100, -34.4552220),  (-58.5655769, -34.4553975),  (-58.5667534, -34.4559612),  (-58.5682106, -34.4566543),  (-58.5688416, -34.4560217),  (-58.5700288, -34.4565944),  (-58.5707047, -34.4558858),  (-58.5694785, -34.4553622),  (-58.5683068, -34.4548437),  (-58.5672806, -34.4543990),  (-58.5671294, -34.4543341)]"
66,"[(-58.5667534, -34.4559612),  (-58.5662732, -34.4566766),  (-58.5657603, -34.4574007),  (-58.5672062, -34.4581207),  (-58.5682317, -34.4586015),  (-58.5683828, -34.4586753),  (-58.5688637, -34.4579148),  (-58.5693870, -34.4572179),  (-58.5700288, -34.4565944),  (-58.5688416, -34.4560217),  (-58.5682106, -34.4566543),  (-58.5667534, -34.4559612)]"
67,"[(-58.5890447, -34.4724271),  (-58.5884815, -34.4732318),  (-58.5879753, -34.4738839),  (-58.5874405, -34.4746169),  (-58.5885956, -34.4751800),  (-58.5891197, -34.4744380),  (-58.5901778, -34.4749459),  (-58.5916679, -34.4756526),  (-58.5934766, -34.4755338),  (-58.5917924, -34.4747212),  (-58.5907018, -34.4742038),  (-58.5896328, -34.4736957),  (-58.5899619, -34.4732173),  (-58.5901460, -34.4729535),  (-58.5890447, -34.4724271)]"
68,"[(-58.5502771, -34.4447252),  (-58.5496154, -34.4452402),  (-58.5494830, -34.4453467),  (-58.5488984, -34.4458040),  (-58.5487111, -34.4459415),  (-58.5495149, -34.4466451),  (-58.5502812, -34.4473167),  (-58.5510481, -34.4466993),  (-58.5518254, -34.4461046),  (-58.5510480, -34.4454419),  (-58.5502983, -34.4447525),  (-58.5502771, -34.4447252)]"
69,"[(-58.5448510, -34.4310592),  (-58.5406102, -34.4322075),  (-58.5399658, -34.4326685),  (-58.5395847, -34.4330019),  (-58.5394797, -34.4330953),  (-58.5388822, -34.4336741),  (-58.5399376, -34.4346061),  (-58.5418299, -34.4362015),  (-58.5420995, -34.4360245),  (-58.5425154, -34.4355697),  (-58.5433598, -34.4348677),  (-58.5434827, -34.4349954),  (-58.5442692, -34.4357484),  (-58.5457957, -34.4371231),  (-58.5470345, -34.4381428),  (-58.5490556, -34.4398569),  (-58.5493881, -34.4401358),  (-58.5493851, -34.4403070),  (-58.5497685, -34.4404738),  (-58.5507418, -34.4398634),  (-58.5508491, -34.4399548),  (-58.5509813, -34.4398572),  (-58.5516092, -34.4394049),  (-58.5524458, -34.4388380),  (-58.5532719, -34.4382529),  (-58.5531541, -34.4381433),  (-58.5528433, -34.4378692),  (-58.5528004, -34.4378326),  (-58.5521040, -34.4372115),  (-58.5516593, -34.4368186),  (-58.5513969, -34.4365812),  (-58.5506255, -34.4371489),  (-58.5497884, -34.4377474),  (-58.5490373, -34.4371391),  (-58.5482814, -34.4365036),  (-58.5486068, -34.4362416),  (-58.5478674, -34.4355929),  (-58.5471167, -34.4349665),  (-58.5466065, -34.4345909),  (-58.5471652, -34.4340522),  (-58.5456698, -34.4330880),  (-58.5459920, -34.4326952),  (-58.5458798, -34.4325812),  (-58.5456740, -34.4325292),  (-58.5458211, -34.4325174),  (-58.5459249, -34.4324871),  (-58.5460840, -34.4324079),  (-58.5460216, -34.4322449),  (-58.5461202, -34.4322055),  (-58.5461135, -34.4319621),  (-58.5460650, -34.4319344),  (-58.5460017, -34.4318210),  (-58.5458656, -34.4318284),  (-58.5458252, -34.4316522),  (-58.5455468, -34.4313965),  (-58.5449840, -34.4315430),  (-58.5448510, -34.4310592)]"
70,"[(-58.5497685, -34.4404738),  (-58.5493851, -34.4403070),  (-58.5493881, -34.4401358),  (-58.5490556, -34.4398569),  (-58.5470345, -34.4381428),  (-58.5457957, -34.4371231),  (-58.5442692, -34.4357484),  (-58.5434827, -34.4349954),  (-58.5433598, -34.4348677),  (-58.5425154, -34.4355697),  (-58.5420995, -34.4360245),  (-58.5418299, -34.4362015),  (-58.5399376, -34.4346061),  (-58.5397498, -34.4347661),  (-58.5396426, -34.4349901),  (-58.5387669, -34.4365480),  (-58.5367019, -34.4389300),  (-58.5365142, -34.4390900),  (-58.5362670, -34.4392267),  (-58.5364867, -34.4394186),  (-58.5368404, -34.4397248),  (-58.5376655, -34.4404468),  (-58.5380941, -34.4408215),  (-58.5390499, -34.4415405),  (-58.5408547, -34.4428600),  (-58.5414199, -34.4441466),  (-58.5417478, -34.4440604),  (-58.5424482, -34.4438254),  (-58.5426346, -34.4437420),  (-58.5423745, -34.4436803),  (-58.5436021, -34.4431586),  (-58.5431728, -34.4428200),  (-58.5426741, -34.4424039),  (-58.5431849, -34.4421216),  (-58.5435818, -34.4418244),  (-58.5438168, -34.4414441),  (-58.5442611, -34.4412331),  (-58.5446636, -34.4415488),  (-58.5454243, -34.4409765),  (-58.5468532, -34.4420210),  (-58.5479457, -34.4411282),  (-58.5481284, -34.4412565),  (-58.5486056, -34.4410323),  (-58.5488909, -34.4408915),  (-58.5497685, -34.4404738)]"
71,"[(-58.5479271, -34.4428315),  (-58.5472310, -34.4434452),  (-58.5465351, -34.4440543),  (-58.5459828, -34.4445300),  (-58.5448782, -34.4454903),  (-58.5456936, -34.4461490),  (-58.5461553, -34.4465060),  (-58.5469574, -34.4473088),  (-58.5474647, -34.4469182),  (-58.5479499, -34.4465454),  (-58.5479719, -34.4465276),  (-58.5481595, -34.4463766),  (-58.5487111, -34.4459415),  (-58.5488984, -34.4458040),  (-58.5494830, -34.4453467),  (-58.5496154, -34.4452402),  (-58.5502771, -34.4447252),  (-58.5495473, -34.4441397),  (-58.5487751, -34.4434951),  (-58.5479271, -34.4428315)]"
72,"[(-58.5549228, -34.4371457),  (-58.5541513, -34.4377224),  (-58.5533468, -34.4383259),  (-58.5543433, -34.4392120),  (-58.5550612, -34.4398514),  (-58.5558005, -34.4405091),  (-58.5565506, -34.4411760),  (-58.5573224, -34.4405812),  (-58.5581102, -34.4400046),  (-58.5573443, -34.4393105),  (-58.5566258, -34.4387026),  (-58.5558976, -34.4380315),  (-58.5558760, -34.4380222),  (-58.5552229, -34.4374061),  (-58.5549228, -34.4371457)]"
73,"[(-58.5419771, -34.4596612),  (-58.5438335, -34.4605441),  (-58.5470765, -34.4621060),  (-58.5471034, -34.4621198),  (-58.5476322, -34.4614366),  (-58.5482099, -34.4607539),  (-58.5480210, -34.4606615),  (-58.5467477, -34.4600425),  (-58.5457979, -34.4595895),  (-58.5448376, -34.4591184),  (-58.5448160, -34.4591091),  (-58.5441361, -34.4587855),  (-58.5439095, -34.4586747),  (-58.5429596, -34.4582307),  (-58.5424683, -34.4589459),  (-58.5419771, -34.4596612)]"
74,"[(-58.5672062, -34.4581207),  (-58.5665593, -34.4590416),  (-58.5661576, -34.4596227),  (-58.5657338, -34.4602217),  (-58.5652372, -34.4609459),  (-58.5653505, -34.4610014),  (-58.5664191, -34.4615096),  (-58.5669156, -34.4617498),  (-58.5673798, -34.4619716),  (-58.5678818, -34.4612474),  (-58.5683951, -34.4605053),  (-58.5694638, -34.4610135),  (-58.5699209, -34.4603699),  (-58.5704229, -34.4596457),  (-58.5693434, -34.4591373),  (-58.5683828, -34.4586753),  (-58.5682317, -34.4586015),  (-58.5672062, -34.4581207)]"
75,"[(-58.5637022, -34.4625684),  (-58.5626154, -34.4640699),  (-58.5628475, -34.4641808),  (-58.5622784, -34.4650034),  (-58.5617654, -34.4657274),  (-58.5634223, -34.4665176),  (-58.5642803, -34.4669378),  (-58.5651438, -34.4673535),  (-58.5659750, -34.4677509),  (-58.5668386, -34.4681666),  (-58.5682632, -34.4688683),  (-58.5694950, -34.4668367),  (-58.5699889, -34.4656346),  (-58.5696165, -34.4654545),  (-58.5689637, -34.4651269),  (-58.5671991, -34.4642679),  (-58.5664975, -34.4639262),  (-58.5651375, -34.4632703),  (-58.5650620, -34.4632333),  (-58.5644360, -34.4629285),  (-58.5637022, -34.4625684)]"
76,"[(-58.5655550, -34.4509536),  (-58.5651075, -34.4516694),  (-58.5646596, -34.4524123),  (-58.5642344, -34.4530923),  (-58.5651959, -34.4535002),  (-58.5661788, -34.4539264),  (-58.5662234, -34.4538638),  (-58.5666038, -34.4532553),  (-58.5656316, -34.4528383),  (-58.5661010, -34.4521137),  (-58.5663170, -34.4522064),  (-58.5665330, -34.4522991),  (-58.5669808, -34.4515652),  (-58.5655550, -34.4509536)]"
77,"[(-58.5720493, -34.4564784),  (-58.5717127, -34.4573983),  (-58.5714270, -34.4581972),  (-58.5709360, -34.4589125),  (-58.5704229, -34.4596457),  (-58.5715347, -34.4601814),  (-58.5722039, -34.4605047),  (-58.5728300, -34.4608005),  (-58.5729893, -34.4603922),  (-58.5727707, -34.4601283),  (-58.5727152, -34.4598707),  (-58.5727612, -34.4594071),  (-58.5729167, -34.4588996),  (-58.5729975, -34.4586302),  (-58.5729005, -34.4585749),  (-58.5734369, -34.4571075),  (-58.5734598, -34.4570401),  (-58.5728216, -34.4568164),  (-58.5720493, -34.4564784)]"
78,"[(-58.5828854, -34.4456484),  (-58.5824464, -34.4455531),  (-58.5813624, -34.4453152),  (-58.5812485, -34.4452914),  (-58.5804793, -34.4450977),  (-58.5801560, -34.4449181),  (-58.5795161, -34.4444736),  (-58.5786248, -34.4457071),  (-58.5786024, -34.4457429),  (-58.5785023, -34.4458769),  (-58.5778643, -34.4469241),  (-58.5776401, -34.4473136),  (-58.5773545, -34.4477970),  (-58.5788003, -34.4485124),  (-58.5800089, -34.4491078),  (-58.5801321, -34.4489019),  (-58.5807007, -34.4480883),  (-58.5813332, -34.4473610),  (-58.5819006, -34.4466240),  (-58.5823339, -34.4460927),  (-58.5828455, -34.4457561),  (-58.5828854, -34.4456484)]"
79,"[(-58.5779512, -34.4539918),  (-58.5775376, -34.4546450),  (-58.5771239, -34.4552982),  (-58.5766993, -34.4559512),  (-58.5776715, -34.4563726),  (-58.5787198, -34.4567950),  (-58.5797141, -34.4571986),  (-58.5802217, -34.4574253),  (-58.5807455, -34.4576613),  (-58.5812639, -34.4578926),  (-58.5817877, -34.4581286),  (-58.5823224, -34.4583601),  (-58.5828572, -34.4585916),  (-58.5832708, -34.4579384),  (-58.5836846, -34.4572762),  (-58.5840711, -34.4566227),  (-58.5809552, -34.4552345),  (-58.5800153, -34.4548360),  (-58.5799721, -34.4548175),  (-58.5789454, -34.4544000),  (-58.5779512, -34.4539918)]"
80,"[(-58.5801277, -34.4623367),  (-58.5796369, -34.4630431),  (-58.5791236, -34.4637942),  (-58.5802140, -34.4643117),  (-58.5813043, -34.4648291),  (-58.5823839, -34.4653464),  (-58.5829081, -34.4645953),  (-58.5833879, -34.4638888),  (-58.5823083, -34.4633805),  (-58.5815635, -34.4630204),  (-58.5812288, -34.4628632),  (-58.5807431, -34.4626278),  (-58.5801277, -34.4623367)]"
81,"[(-58.5833879, -34.4638888),  (-58.5829081, -34.4645953),  (-58.5823839, -34.4653464),  (-58.5834852, -34.4658639),  (-58.5845647, -34.4663812),  (-58.5856444, -34.4668894),  (-58.5867456, -34.4674159),  (-58.5872589, -34.4666647),  (-58.5877333, -34.4659581),  (-58.5866377, -34.4654272),  (-58.5855686, -34.4649326),  (-58.5844891, -34.4644153),  (-58.5833879, -34.4638888)]"
82,"[(-58.5834852, -34.4658639),  (-58.5829722, -34.4665971),  (-58.5825260, -34.4672409),  (-58.5836055, -34.4677582),  (-58.5846960, -34.4682756),  (-58.5857863, -34.4688020),  (-58.5868716, -34.4693058),  (-58.5873231, -34.4686665),  (-58.5862326, -34.4681491),  (-58.5867456, -34.4674159),  (-58.5856444, -34.4668894),  (-58.5845647, -34.4663812),  (-58.5834852, -34.4658639)]"
83,"[(-58.5980461, -34.4707640),  (-58.5979512, -34.4709116),  (-58.5974277, -34.4709732),  (-58.5969145, -34.4710755),  (-58.5954530, -34.4712570),  (-58.5949950, -34.4713148),  (-58.5950382, -34.4713333),  (-58.5955239, -34.4715733),  (-58.5955445, -34.4716456),  (-58.5964683, -34.4720483),  (-58.5972584, -34.4726388),  (-58.5973197, -34.4728738),  (-58.5975123, -34.4737233),  (-58.5987564, -34.4735213),  (-58.5988673, -34.4734009),  (-58.5989584, -34.4731585),  (-58.5989800, -34.4728433),  (-58.5991700, -34.4728725),  (-58.5993272, -34.4732349),  (-58.5997282, -34.4730096),  (-58.5996802, -34.4729505),  (-58.5995414, -34.4727912),  (-58.5994826, -34.4727274),  (-58.5993170, -34.4725407),  (-58.5992209, -34.4724314),  (-58.5991995, -34.4724087),  (-58.5991194, -34.4723176),  (-58.5990500, -34.4722357),  (-58.5988152, -34.4719581),  (-58.5987514, -34.4718672),  (-58.5986719, -34.4717446),  (-58.5985497, -34.4715630),  (-58.5985408, -34.4714457),  (-58.5985484, -34.4713196),  (-58.5985486, -34.4713060),  (-58.5985490, -34.4712835),  (-58.5985840, -34.4711442),  (-58.5986461, -34.4710052),  (-58.5980461, -34.4707640)]"
